Metric​,Annual​,Feb​,Mar​,Apr​,May​,Jun​,Jul​,Aug​,Sep​,Oct​,Nov​,Dec​,Jan​,YTD Actual​,YTD Progress
Organic ER Plan​,3.0%​,3.0%​,3.0%​,3.0%​,3.0%​,3.0%​,3.0%​,3.0%​,3.0%​,3.0%​,3.0%​,3.0%​,3.0%​,​,​
Organic ER Actual​,,"2.39%​
B:1.59%​",​,​,​,​,​,​,​,​,​,​,​,2.39%​,80%​
IG Actual,,"2.28%​
B:1.95%​",​,​,​,​,​,​,​,​,​,​,​,​,​
Tik Tok Actual,,"3.62%​
B 0.57%​",​,​,​,​,​,​,​,​,​,​,​,​,​
Total Engagements​,,"17,805​",​,​,​,​,​,​,​,​,​,​,​,​,​
Average Organic Engagements Per Post​,,307​,​,​,​,​,​,​,​,​,​,​,​,​,​
Organic ER Spark Meta​ Plan,3.0%​,3.0%​,3.0%​,3.0%​,3.0%​,3.0%​,3.0%​,3.0%​,3.0%​,3.0%​,3.0%​,3.0%​,3.0%​,​,​
Organic ER Spark Meta​ Actual,,5.05%​,​,​,​,​,​,​,​,​,​,​,​,5.05%​,168%
Organic ER Spark TikTok​ Plan,3.25%​,"3.25%​

​",3.25%​,3.25%​,3.25%​,3.25%​,3.25%​,3.25%​,3.25%​,3.25%​,3.25%​,3.25%​,3.25%​,​,​
Organic ER Spark TIkTok​ Actual,,0.15%​,,​,​,​,​,​,​,​,​,​,​,0.15%​,4.68%​
Organic Engagements Spark​ Plan,1.7M​,141.6K​,141.6K​,141.6K​,141.6K​,141.6K​,141.6K​,141.6K​,141.6K​,141.6K​,141.6K​,141.6K​,141.6K​,​,​
Organic Engagements Spark​ Actual,,"23,048​",​,​,​,​,​,​,​,​,​,​,​,"23,048​",1.47%​
