Post ID,Network,Published time (America/Toronto),Post Type,Placement,Boosted,Post text,Post URL,Impressions,Engagements,Reach,Video views,Engagement rate,label 1,label 2,label 3,label 4,label 5,label 6,label 7,label 8,label 9,label 10,label 11,label 12,label 13,label 14,label 15,label 16,label 17,label 18,label 19,label 20,label 21,label 22,label 23,label 24,label 25,label 26,label 27,label 28,label 29,label 30,label 31,label 32,label 33,label 34,label 35,label 36,label 37,label 38,label 39,label 40,label 41,label 42,label 43
7467939495812271365,TIKTOK,Feb 05,VIDEO,Timeline,Yes,when the deals speak your language #walmartcanada #wegotyou #besties #shopwithme #shopmaster,https://www.tiktok.com/@walmartcanada/video/7467939495812271365?utm_campaign=tt4d_open_api&utm_source=7055758955263295490,358,16,236,358,6.78%,,Always On,,Cossette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18354642007131682,INSTAGRAM,Feb 05,REELS,REELS,No,how shopping with your bestie feels,https://www.instagram.com/reel/DFsbuvYRd1N/,11152,69,7643,-,0.90%,,Always On,,Cossette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18036673484437710,INSTAGRAM,Feb 05,REELS,REELS,No,Celebrate the girlies for less,https://www.instagram.com/reel/DFstv2IRs3z/,7854,50,6458,-,0.77%,,Always On,,Cossette,,Gifts & Seasonal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Crafts & Party Supplies,,
7467981326512114950,TIKTOK,Feb 05,VIDEO,Timeline,Yes,Valentine’s Day is for the girls. 💖👯‍♀️ #walmartcanada #wegotyou #valentinesday #galentinesday ,https://www.tiktok.com/@walmartcanada/video/7467981326512114950?utm_campaign=tt4d_open_api&utm_source=7055758955263295490,734,13,578,734,2.25%,,,,Cossette,,Gifts & Seasonal,,,Walmart Finds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Crafts & Party Supplies,,
18059287105970821,INSTAGRAM,Feb 05,REELS,REELS,No,What’s your “office personality?” #walmartcanada #behindthespark #officetok,https://www.instagram.com/reel/DFtJg2dRtyX/,24468,445,15844,-,2.81%,,Always On,Walmart,,Behind The Spark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7468043978307407109,TIKTOK,Feb 05,VIDEO,Timeline,Yes,What’s your office personality? #officetoks #walmartcanada #behindthespark ,https://www.tiktok.com/@walmartcanada/video/7468043978307407109?utm_campaign=tt4d_open_api&utm_source=7055758955263295490,846,58,610,846,9.51%,,Always On,Walmart,Cossette,Behind The Spark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18033760742449806,INSTAGRAM,Feb 06,REELS,REELS,No,We’ll take this over a bouquet and chocolates please! 💐🎁,https://www.instagram.com/reel/DFv7-JmxE-u/,10470,89,7722,-,1.15%,,Always On,,,,,,APEX,,,,Home,,,,,,,,,,,,,,,,,,,,,APEX Home and Apparel,,,,,,,,,,
7469109972123553079,TIKTOK,Feb 08,VIDEO,Timeline,No,"This Black History Month, we celebrate the beauty and strength of Black identity with Kendal Blake’s empowering artwork. Proceeds from each tee will support workforce development and education, empowering Black youth to build a brighter future.",https://www.tiktok.com/@walmartcanada/video/7469109972123553079?utm_campaign=tt4d_open_api&utm_source=7055758955263295490,974,18,733,974,2.46%,,,,,,,,APEX,Walmart Finds,,,,Apparel,,,,,,,,,,,,,,,,,,,,APEX Home and Apparel,,,,,,,,,,
17894667489158379,INSTAGRAM,Feb 08,CAROUSEL,Timeline,No,"This Black History Month, we celebrate the beauty and strength of Black identity with Kendal Blake’s empowering artwork.  Proceeds from each tee will support workforce development and education, empowering Black youth to build a brighter future.",https://www.instagram.com/p/DF0kpKERbi8/,32096,198,11146,-,1.78%,,Always On,,,,,,APEX,,,,,Apparel,,,,,,,,,,,,,,,,,,,,APEX Home and Apparel,,,,,,,,,,
18091314199533663,INSTAGRAM,Feb 08,REELS,REELS,No,Slaying Valentine’s Day without breaking the bank 👗💖,https://www.instagram.com/reel/DF0xAw5xOo6/,6933,52,5431,-,0.96%,,,,,,,,APEX,Walmart Finds,,,,Apparel,,,,,,,,,,,,,,,,,,,,APEX Home and Apparel,,,,,,,,,,
